2021/05/18 14:23:11 [TE34WS3224] kívánt: 21.0, jelenlegi: 15.0, eltérés: 28,57%
2021/05/18 14:24:11 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 16.0, eltérés: 25,58%
2021/05/18 14:24:51 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/18 14:25:10 [TE34WS3224] kívánt: 21.0, jelenlegi: 15.0, eltérés: 28,57%
2021/05/18 14:25:30 [EEI23EE12D] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:25:51 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 16.0, eltérés: 25,58%
2021/05/18 14:26:07 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 16.0, eltérés: 25,58%
2021/05/18 14:26:07 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 15.0, eltérés: 25,00%
2021/05/18 14:26:07 [EEI23EE12D] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:26:28 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 17.0, eltérés: 20,93%
2021/05/18 14:26:48 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 16.0, eltérés: 25,58%
2021/05/18 14:26:48 [TE34WS3224] kívánt: 21.0, jelenlegi: 15.0, eltérés: 28,57%
2021/05/18 14:27:09 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 15.0, eltérés: 30,23%
2021/05/18 14:27:09 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:27:27 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 15.0, eltérés: 25,00%
2021/05/18 14:27:48 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 15.0, eltérés: 30,23%
2021/05/18 14:27:48 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/18 14:28:08 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 15.0, eltérés: 30,23%
2021/05/18 14:28:08 [TE34WS3224] kívánt: 21.0, jelenlegi: 15.0, eltérés: 28,57%
2021/05/18 14:28:49 [KD34AF24DS] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:28:49 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:29:10 [KD34AF24DS] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:29:10 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 15.0, eltérés: 25,00%
2021/05/18 14:29:30 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 15.0, eltérés: 30,23%
2021/05/18 14:29:30 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/18 14:29:30 [EEI23EE12D] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:29:51 [EEI23EE12D] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:30:09 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 16.0, eltérés: 20,00%
2021/05/18 14:30:09 [EEI23EE12D] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:30:28 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 15.0, eltérés: 30,23%
2021/05/18 14:30:28 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 15.0, eltérés: 25,00%
2021/05/18 14:30:46 [KD34AF24DS] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:31:25 [KD34AF24DS] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:31:25 [TE34WS3224] kívánt: 21.0, jelenlegi: 16.0, eltérés: 23,81%
2021/05/18 14:31:43 [TE34WS3224] kívánt: 21.0, jelenlegi: 15.0, eltérés: 28,57%
2021/05/18 14:31:43 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 16.0, eltérés: 20,00%
2021/05/18 14:32:04 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:32:25 [KD34AF24DS] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:32:45 [KD34AF24DS] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:32:45 [TE34WS3224] kívánt: 21.0, jelenlegi: 15.0, eltérés: 28,57%
2021/05/18 14:33:24 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 17.0, eltérés: 20,93%
2021/05/18 14:33:42 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 17.0, eltérés: 20,93%
2021/05/18 14:33:42 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:34:03 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 15.0, eltérés: 25,00%
2021/05/18 14:34:23 [KD34AF24DS] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:34:23 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 15.0, eltérés: 25,00%
2021/05/18 14:34:44 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 17.0, eltérés: 20,93%
2021/05/18 14:35:23 [KD34AF24DS] kívánt: 22.0, jelenlegi: 17.0, eltérés: 22,73%
2021/05/18 14:35:23 [EEI23EE12D] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:35:44 [KD34AF24DS] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:35:44 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 16.0, eltérés: 25,58%
2021/05/18 14:35:44 [EEI23EE12D] kívánt: 22.0, jelenlegi: 16.0, eltérés: 27,27%
2021/05/18 14:36:25 [KD34AF24DS] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:36:25 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 15.0, eltérés: 30,23%
2021/05/18 14:37:04 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 15.0, eltérés: 25,00%
2021/05/18 14:37:24 [TE34WS3224] kívánt: 21.0, jelenlegi: 15.0, eltérés: 28,57%
2021/05/18 14:37:43 [TE34WS3224] kívánt: 21.0, jelenlegi: 15.0, eltérés: 28,57%
2021/05/18 14:37:43 [TTLR3234ZZ] kívánt: 20.0, jelenlegi: 24.0, eltérés: 20,00%
2021/05/18 14:38:01 [KD34AF24DS] kívánt: 22.0, jelenlegi: 15.0, eltérés: 31,82%
2021/05/18 14:38:01 [LRKE4LE234D] kívánt: 21.5, jelenlegi: 16.0, eltérés: 25,58%
